#string_protein_id	preferred_name	protein_size	annotation
93061.SAOUHSC_00020	walR	233	Two-component response regulator, putative; Member of the two-component regulatory system WalK/WalR that regulates genes involved in cell wall metabolism, virulence regulation, biofilm production, oxidative stress resistance and antibiotic resistance via direct or indirect regulation of autolysins. Functions as a transcription regulator by direct binding to promoter regions. Positively controls the cell wall-hydrolytic activity through regulation of atlA and lytM, as well as induces transcription of isaA, sceD, ssaA, and four ssaA- related genes. Binds directly to the lytM, ssaA and is [...] 
93061.SAOUHSC_00021	walK	608	Sensory box histidine kinase VicK, putative; Member of the two-component regulatory system WalK/WalR that regulates genes involved in cell wall metabolism, virulence regulation, biofilm production, oxidative stress resistance and antibiotic resistance via direct or indirect regulation of autolysins. Functions as a sensor protein kinase which is autophosphorylated at a histidine residue in the dimerization domain and transfers its phosphate group to the conserved aspartic acid residue in the regulatory domain of WalR. In turn, WalR binds to the upstream promoter regions of the target ge [...] 
93061.SAOUHSC_00022	ABD29211.1	427	Conserved hypothetical protein.
93061.SAOUHSC_00023	ABD29212.1	262	Conserved hypothetical protein.
93061.SAOUHSC_00024	ABD29213.1	266	Conserved hypothetical protein.
93061.SAOUHSC_00025	ABD29214.1	772	Conserved hypothetical protein.
93061.SAOUHSC_00026	ABD29215.1	159	Conserved hypothetical protein.
93061.SAOUHSC_00027	rlmH	159	Conserved hypothetical protein; Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA; Belongs to the RNA methyltransferase RlmH family.
93061.SAOUHSC_00028	ABD29217.1	44	Hypothetical protein.
93061.SAOUHSC_00029	ABD29218.1	30	Conserved hypothetical protein.
93061.SAOUHSC_00030	ABD29219.1	581	Conserved hypothetical protein.
93061.SAOUHSC_00031	ABD29220.1	150	Conserved hypothetical protein.
93061.SAOUHSC_00032	ABD29221.1	33	Conserved hypothetical protein.
93061.SAOUHSC_00033	ABD29222.1	251	Conserved hypothetical protein.
93061.SAOUHSC_00034	ABD29223.1	86	Conserved hypothetical protein.
93061.SAOUHSC_00035	ABD29224.1	355	Conserved hypothetical protein; Belongs to the sulfur carrier protein TusA family.
93061.SAOUHSC_00036	ABD29225.1	444	Conserved hypothetical protein.
93061.SAOUHSC_00037	ABD29226.1	397	Conserved hypothetical protein.
93061.SAOUHSC_00038	ABD29227.1	33	Conserved hypothetical protein.
93061.SAOUHSC_00039	ABD29228.1	310	Conserved hypothetical protein; Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines; Belongs to the dus family.
93061.SAOUHSC_00040	ABD29229.1	67	Conserved hypothetical protein.
93061.SAOUHSC_00041	ABD29230.1	98	Conserved hypothetical protein.
93061.SAOUHSC_00042	ABD29231.1	406	Conserved hypothetical protein.
93061.SAOUHSC_00043	ABD29232.1	183	Conserved hypothetical protein.
93061.SAOUHSC_00044	ABD29233.1	286	Conserved hypothetical protein; Belongs to the LysR transcriptional regulatory family.
93061.SAOUHSC_00045	ABD29234.1	177	Conserved hypothetical protein.
93061.SAOUHSC_00046	ABD29235.1	247	Conserved hypothetical protein; Belongs to the LysR transcriptional regulatory family.
93061.SAOUHSC_00047	ABD29236.1	200	Conserved hypothetical protein.
93061.SAOUHSC_00049	ABD29237.1	1050	Conserved hypothetical protein.
93061.SAOUHSC_00050	ABD29238.1	160	Conserved hypothetical protein.
93061.SAOUHSC_00051	plc	328	1-phosphatidylinositol phosphodiesterase precursor, putative; Cleaves glycosylphosphatidylinositol (GPI) and phosphatidylinositol (PI) anchors but not PI phosphates. Potential virulence factor (By similarity).
93061.SAOUHSC_00052	ABD29240.1	256	Conserved hypothetical protein.
93061.SAOUHSC_00053	ABD29241.1	256	Conserved hypothetical protein.
93061.SAOUHSC_00054	ABD29242.1	256	Conserved hypothetical protein.
93061.SAOUHSC_00055	ABD29243.1	255	Conserved hypothetical protein.
93061.SAOUHSC_00056	ABD29244.1	732	Conserved hypothetical protein.
93061.SAOUHSC_00057	ABD29245.1	392	Conserved hypothetical protein.
93061.SAOUHSC_00058	ABD29246.1	462	Conserved hypothetical protein.
93061.SAOUHSC_00060	ABD29247.1	553	Conserved hypothetical protein.
93061.SAOUHSC_00061	ABD29248.1	591	Conserved hypothetical protein.
93061.SAOUHSC_00062	ABD29249.1	290	Conserved hypothetical protein.
93061.SAOUHSC_00064	norG	465	Conserved hypothetical protein; Positively regulates the expression of the NorB efflux pump and negatively regulates the expression of the AbcA efflux pump. Binds specifically to the promoters of norA, norB and norC and abcA genes. Overexpression of norG leads to an increase in the level of resistance to quinolones, associated with a threefold increase in norB transcripts. Disruption of norG leads to an increase in the level of resistance to methicillin, cefotaxime, penicillin G, and nafcillin, associated with a threefold increase in abcA transcripts. Could also have an aminotransferas [...] 
93061.SAOUHSC_00065	ABD29251.1	157	Conserved hypothetical protein.
93061.SAOUHSC_00067	ABD29252.1	530	L-lactate permease; Transports L-lactate across the membrane. Can also transport D-lactate and glycolate; Belongs to the lactate permease family.
93061.SAOUHSC_00069	spa	516	Protein A; Plays a role in the inhibition of the host innate and adaptive immune responses. Possesses five immunoglobulin-binding domains that capture both the fragment crystallizable region (Fc region) and the Fab region (part of Ig that identifies antigen) of immunoglobulins. In turn, Staphylococcus aureus is protected from phagocytic killing via inhibition of Ig Fc region. In addition, the host elicited B-cell response is prevented due to a decrease of antibody-secreting cell proliferation that enter the bone marrow, thereby decreasing long-term antibody production. Inhibits osteoge [...] 
93061.SAOUHSC_00070	sarS	250	Staphylococcal accessory regulator-like protein; Transcriptional regulator that controls expression of some virulence factors in a cell density-dependent manner. Acts as an activator of the gene encoding protein A (spa). Negatively regulates the expression of alpha-hemolysin (hla).
93061.SAOUHSC_00071	ABD29255.1	304	Lipoprotein, SirC, putative; Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily.
93061.SAOUHSC_00072	ABD29256.1	331	Lipoprotein, SirB, putative; Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily.
93061.SAOUHSC_00074	ABD29257.1	330	Periplasmic binding protein, putative.
93061.SAOUHSC_00075	sbnA	281	Conserved hypothetical protein; Catalyzes the synthesis of N-((2S)-2-amino-2-carboxyethyl)-L- glutamate (ACEGA) from O-phospho-L-serine and L-glutamate. Involved in the biosynthesis of L-2,3-diaminopropionic acid (L-Dap), a precursor of staphyloferrin B and antibiotics.
93061.SAOUHSC_00076	sbnB	336	Ornithine cyclodeaminase, putative; Catalyzes the hydrolysis of N-((2S)-2-amino-2-carboxyethyl)- L-glutamate (ACEGA) to form L-2,3-diaminopropionic acid and 2- oxoglutarate. Involved in the biosynthesis of L-2,3-diaminopropionic acid (L-Dap), a precursor of staphyloferrin B and antibiotics. Belongs to the ornithine cyclodeaminase/mu-crystallin family.
93061.SAOUHSC_00077	sbnC	584	Conserved hypothetical protein; Catalyzes the condensation of L-2,3-diaminopropionyl-citryl- diaminoethane and 2-oxoglutarate to form staphyloferrin B, the fourth and last step in staphyloferrin B biosynthesis.
93061.SAOUHSC_00078	sbnD	418	Conserved hypothetical protein; Involved in staphyloferrin B secretion. Belongs to the major facilitator superfamily.
93061.SAOUHSC_00079	sbnE	578	Conserved hypothetical protein; Catalyzes the synthesis of citryl-L-2,3-diaminopropionic acid from L-2,3-diaminopropionic acid (L-Dap) and citrate, the first step in staphyloferrin B biosynthesis.
93061.SAOUHSC_00080	sbnF	616	Conserved hypothetical protein; Catalyzes the condensation of L-2,3-diaminopropionic acid (L- Dap) and citryl-diaminoethane to form L-2,3-diaminopropionyl-citryl- diaminoethane, the third step in staphyloferrin B biosynthesis.
93061.SAOUHSC_00081	ABD29264.1	258	Conserved hypothetical protein; Belongs to the HpcH/HpaI aldolase family.
93061.SAOUHSC_00082	sbnH	400	Conserved hypothetical protein; Catalyzes the decarboxylation of citryl-L-2,3- diaminopropionic acid to citryl-diaminoethane, the second step in staphyloferrin B biosynthesis; Belongs to the Orn/Lys/Arg decarboxylase class-II family.
93061.SAOUHSC_00083	sbnI	254	Conserved hypothetical protein; Free serine kinase that uses ATP to phosphorylate L-serine to yield O-phospho-L-serine and ADP. O-phospho-L-serine serves as a substrate for SbnA and is a precursor for staphyloferrin B biosynthesis. Is also a DNA-binding regulatory protein that senses heme to control gene expression for siderophore biosynthesis. Binds to DNA within the sbnC coding region and is required for expression of genes in the sbn operon from sbnD onward.
93061.SAOUHSC_00084	ABD29267.1	135	Conserved hypothetical protein.
93061.SAOUHSC_00085	ABD29268.1	208	Conserved hypothetical protein.
93061.SAOUHSC_00086	ABD29269.1	258	3-ketoacyl-acyl carrier protein reductase, putative.
93061.SAOUHSC_00087	ABD29270.1	40	Conserved hypothetical protein.
93061.SAOUHSC_00088	ABD29271.1	326	Conserved hypothetical protein.
93061.SAOUHSC_00089	ABD29272.1	230	Conserved hypothetical protein.
93061.SAOUHSC_00090	ABD29273.1	388	Conserved hypothetical protein.
93061.SAOUHSC_00091	ABD29274.1	412	Conserved hypothetical protein.
93061.SAOUHSC_00092	ABD29275.1	476	Conserved hypothetical protein.
93061.SAOUHSC_00093	sodM	199	Superoxide dismutase, putative; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems. May play a role in maintaining cell viability during the late- exponential and stationary phases of growth since it becomes a major source of activity under oxidative stress. Has a role in resisting external superoxide stress. Involved in acid tolerance and the acid- adaptive response. Mediates the derepression of perR regulon in the response to HOCl stress at low level of SOD activity (By similarity).
93061.SAOUHSC_00094	ABD29277.1	199	Conserved hypothetical protein.
93061.SAOUHSC_00096	ABD29278.1	251	Transcriptional regulator, GntR family, putative.
93061.SAOUHSC_00097	deoD	235	Purine nucleoside phosphorylase.
93061.SAOUHSC_00099	ABD29280.1	450	Conserved hypothetical protein.
93061.SAOUHSC_00100	deoC	220	Deoxyribose-phosphate aldolase; Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy-D-ribose 5- phosphate; Belongs to the DeoC/FbaB aldolase family. DeoC type 1 subfamily.
93061.SAOUHSC_00101	deoB	392	Phosphopentomutase; Phosphotransfer between the C1 and C5 carbon atoms of pentose; Belongs to the phosphopentomutase family.
93061.SAOUHSC_00102	ABD29283.1	271	Phosphonates ABC transporter, permease protein CC0363, putative.
93061.SAOUHSC_00103	ABD29284.1	266	Phosphonates ABC transporter, permease protein CC0363, putative.
93061.SAOUHSC_00104	phnC	257	Amino acid ABC transporter, ATP-binding protein, putative; Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system; Belongs to the ABC transporter superfamily. Phosphonates importer (TC 3.A.1.9.1) family.
93061.SAOUHSC_00105	ABD29286.1	318	Phosphonate ABC transporter, substrate-binding protein, putative.
93061.SAOUHSC_00106	ABD29287.1	514	Conserved hypothetical protein.
93061.SAOUHSC_00107	ABD29288.1	511	Conserved hypothetical protein; Belongs to the 5'-nucleotidase family.
93061.SAOUHSC_00108	ABD29289.1	67	Conserved hypothetical protein.
93061.SAOUHSC_00109	ABD29290.1	161	Replication initiation protein, putative.
93061.SAOUHSC_00110	ABD29291.1	96	Truncated replication initiation protein, putative.
93061.SAOUHSC_00111	ABD29292.1	95	Hypothetical protein.
93061.SAOUHSC_00112	ABD29293.1	73	Transposase, IS200 family, putative.
93061.SAOUHSC_00113	ABD29294.1	869	Alcohol dehydrogenase, iron-containing, putative; In the C-terminal section; belongs to the iron-containing alcohol dehydrogenase family.
93061.SAOUHSC_00114	ABD29295.1	222	Capsular polysaccharide biosynthesis protein, putative.
93061.SAOUHSC_00115	ABD29296.1	228	Capsular polysaccharide synthesis enzyme Cap5B.
93061.SAOUHSC_00116	ABD29297.1	254	Capsular polysaccharide synthesis enzyme Cap8C.
93061.SAOUHSC_00117	ABD29298.1	607	Capsular polysaccharide biosynthesis protein Cap5D, putative.
93061.SAOUHSC_00118	ABD29299.1	342	Capsular polysaccharide biosynthesis protein Cap5E, putative.
93061.SAOUHSC_00119	ABD29300.1	369	Capsular polysaccharide synthesis enzyme Cap8F.
93061.SAOUHSC_00120	ABD29301.1	374	UDP-N-acetylglucosamine 2-epimerase; Belongs to the UDP-N-acetylglucosamine 2-epimerase family.
93061.SAOUHSC_00121	ABD29302.1	208	Capsular polysaccharide synthesis enzyme O-acetyl transferase Cap5H, putative.
93061.SAOUHSC_00122	ABD29303.1	369	Capsular polysaccharide biosynthesis protein Cap5I, putative.
93061.SAOUHSC_00123	ABD29304.1	388	Capsular polysaccharide biosynthesis protein Cap5J, putative.
93061.SAOUHSC_00124	ABD29305.1	401	Capsular polysaccharide biosynthesis protein Cap5K, putative.
93061.SAOUHSC_00125	ABD29306.1	401	cap5L protein/glycosyltransferase, putative.
93061.SAOUHSC_00126	ABD29307.1	185	Capsular polysaccharide biosynthesis protein Cap8M.
93061.SAOUHSC_00127	ABD29308.1	295	cap5N protein/UDP-glucose 4-epimerase, putative.
93061.SAOUHSC_00128	ABD29309.1	420	cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase; Belongs to the UDP-glucose/GDP-mannose dehydrogenase family.
93061.SAOUHSC_00129	ABD29310.1	381	UDP-N-acetylglucosamine 2-epimerase; Belongs to the UDP-N-acetylglucosamine 2-epimerase family.
93061.SAOUHSC_00130	isdI	108	Conserved hypothetical protein; Allows bacterial pathogens to use the host heme as an iron source. Catalyzes the oxidative degradation of the heme macrocyclic porphyrin ring to the oxo-bilirubin chromophore staphylobilin (a mixture of the linear tetrapyrroles 5-oxo-delta-bilirubin and 15-oxo- beta-bilirubin) in the presence of a suitable electron donor such as ascorbate or NADPH--cytochrome P450 reductase, with subsequent release of free iron; Belongs to the antibiotic biosynthesis monooxygenase family. Heme-degrading monooxygenase IsdG subfamily.
93061.SAOUHSC_00131	ABD29312.1	127	Conserved hypothetical protein.
93061.SAOUHSC_00132	aldA	495	Aldehyde dehydrogenase, putative.
93061.SAOUHSC_00133	ABD29314.1	319	Conserved hypothetical protein.
93061.SAOUHSC_00134	ABD29315.1	67	Conserved hypothetical protein.
93061.SAOUHSC_00135	ABD29316.1	170	Conserved hypothetical protein.
93061.SAOUHSC_00136	ABD29317.1	246	Conserved hypothetical protein.
93061.SAOUHSC_00137	ABD29318.1	324	Conserved hypothetical protein.
93061.SAOUHSC_00138	ABD29319.1	253	Conserved hypothetical protein.
93061.SAOUHSC_00139	ABD29320.1	343	Conserved hypothetical protein.
93061.SAOUHSC_00141	ABD29321.1	119	Conserved hypothetical protein.
93061.SAOUHSC_00142	ABD29322.1	341	Formate dehydrogenase, NAD-dependent, putative; Catalyzes the NAD(+)-dependent oxidation of formate to carbon dioxide. Formate oxidation is the final step in the methanol oxidation pathway in methylotrophic microorganisms. Has a role in the detoxification of exogenous formate in non-methylotrophic organisms. Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family. FDH subfamily.
93061.SAOUHSC_00143	ABD29323.1	416	Conserved hypothetical protein.
93061.SAOUHSC_00144	ABD29324.1	2391	Conserved hypothetical protein; Belongs to the ATP-dependent AMP-binding enzyme family.
93061.SAOUHSC_00145	ABD29325.1	214	Conserved hypothetical protein; Belongs to the P-Pant transferase superfamily.
93061.SAOUHSC_00146	ABD29326.1	159	Conserved hypothetical protein.
93061.SAOUHSC_00147	argB	254	Acetylglutamate kinase, putative; Catalyzes the ATP-dependent phosphorylation of N-acetyl-L- glutamate; Belongs to the acetylglutamate kinase family. ArgB subfamily.
93061.SAOUHSC_00148	argJ	413	Glutamate N-acetyltransferase/amino-acid acetyltransferase; Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of N-acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate. Belongs to the ArgJ family.
93061.SAOUHSC_00149	argC	343	N-acetylglutamate gamma-semialdehyde dehydrogenase, putative; Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde. Belongs to the NAGSA dehydrogenase family. Type 1 subfamily.
93061.SAOUHSC_00150	rocD	394	Ornithine aminotransferase, putative; Catalyzes the interconversion of ornithine to glutamate semialdehyde.
93061.SAOUHSC_00151	ABD29331.1	451	Branched-chain amino acid transport system II carrier protein; Component of the transport system for branched-chain amino acids.
93061.SAOUHSC_00152	ABD29332.1	165	Conserved hypothetical protein.
93061.SAOUHSC_00153	ABD29333.1	546	Indolepyruvate decarboxylase, putative.
93061.SAOUHSC_00154	ABD29334.1	33	Conserved hypothetical protein.
93061.SAOUHSC_00155	ptsG	665	PTS system, glucose-specific component; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in glucose transport.
93061.SAOUHSC_00156	ABD29336.1	346	Conserved hypothetical protein.
93061.SAOUHSC_00157	murQ	298	Conserved hypothetical protein; Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6-phosphate and D- lactate.
93061.SAOUHSC_00158	ABD29338.1	484	PTS system component; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane.
93061.SAOUHSC_00160	ABD29339.1	291	Conserved hypothetical protein.
93061.SAOUHSC_00161	ABD29340.1	93	Conserved hypothetical protein.
93061.SAOUHSC_00162	ABD29341.1	929	Type I site-specific deoxyribonuclease, HsdR family, putative; Subunit R is required for both nuclease and ATPase activities, but not for modification.
93061.SAOUHSC_00163	ABD29342.1	280	Conserved hypothetical protein.
93061.SAOUHSC_00164	ABD29343.1	307	Conserved hypothetical protein.
93061.SAOUHSC_00166	ABD29344.1	370	Conserved hypothetical protein.
93061.SAOUHSC_00167	ABD29345.1	530	Peptide ABC transporter, ATP-binding protein, putative; Belongs to the ABC transporter superfamily.
93061.SAOUHSC_00168	ABD29346.1	492	Conserved hypothetical protein.
93061.SAOUHSC_00169	ABD29347.1	387	Peptide ABC transporter, permease protein, putative.
93061.SAOUHSC_00170	ABD29348.1	591	Conserved hypothetical protein.
93061.SAOUHSC_00171	ABD29349.1	668	Gamma-glutamyltranspeptidase, putative.
93061.SAOUHSC_00172	ABD29350.1	257	Conserved hypothetical protein.
93061.SAOUHSC_00173	azoR	208	Acyl carrier phosphodiesterase; Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity; Belongs to the azoreductase type 1 family.
93061.SAOUHSC_00174	ABD29352.1	192	M23/M37 peptidase domain protein.
93061.SAOUHSC_00175	ABD29353.1	365	Multiple sugar-binding transport ATP-binding protein, putative; Belongs to the ABC transporter superfamily.
93061.SAOUHSC_00176	ABD29354.1	423	Bacterial extracellular solute-binding protein, putative.
93061.SAOUHSC_00177	ABD29355.1	422	Maltose ABC transporter, permease protein, putative.
93061.SAOUHSC_00178	ABD29356.1	279	Maltose ABC transporter, permease protein.
93061.SAOUHSC_00179	ABD29357.1	358	Conserved hypothetical protein.
93061.SAOUHSC_00180	ABD29358.1	346	Conserved hypothetical protein.
93061.SAOUHSC_00181	ABD29359.1	322	Conserved hypothetical protein.
93061.SAOUHSC_00182	ABD29360.1	190	Conserved hypothetical protein.
93061.SAOUHSC_00183	ABD29361.1	459	Membrane protein, putative.
93061.SAOUHSC_00184	hptR	252	Response regulator receiver domain protein; Member of the two-component regulatory system HptS/HptR that regulates genes involved in hexose phosphate transport system in response to changes in extracellular phosphate sources. Activates uhpT expression to facilitate glucose-6- phosphate/G6P utilization by directly binding to its promoter. Antagonizes CcpA-dependent transcription of a subset of CcpA-regulated genes involved in antibiotic susceptibility.
93061.SAOUHSC_00185	hptS	518	Conserved hypothetical protein; Member of the two-component regulatory system HptS/HptR that regulates genes involved in hexose phosphate transport system in response to changes in extracellular phosphate sources. May act as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to the conserved aspartic acid residue in the regulatory domain of HptS. In turn, HptS antagonizes CcpA-dependent transcription of a subset of CcpA-regulated genes involved in antibiotic susceptibility.
93061.SAOUHSC_00186	ABD29364.1	322	Lipoprotein, putative.
93061.SAOUHSC_00187	pflB	749	Formate acetyltransferase; Belongs to the glycyl radical enzyme (GRE) family. PFL subfamily.
93061.SAOUHSC_00188	pflA	251	Pyruvate formate-lyase 1 activating enzyme, putative; Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine; Belongs to the organic radical-activating enzymes family.
93061.SAOUHSC_00189	ABD29367.1	64	Conserved hypothetical protein.
93061.SAOUHSC_00190	ABD29368.1	587	Conserved hypothetical protein.
93061.SAOUHSC_00191	ABD29369.1	114	Conserved hypothetical protein.
93061.SAOUHSC_00192	ABD29370.1	636	Coagulase.
93061.SAOUHSC_00193	ABD29371.1	35	Hypothetical protein.
93061.SAOUHSC_00194	ABD29372.1	56	Hypothetical protein.
93061.SAOUHSC_00195	ABD29373.1	394	acetyl-CoA acetyltransferase, putative; Belongs to the thiolase-like superfamily. Thiolase family.
93061.SAOUHSC_00196	ABD29374.1	753	Conserved hypothetical protein; Belongs to the enoyl-CoA hydratase/isomerase family.
93061.SAOUHSC_00197	ABD29375.1	403	Conserved hypothetical protein.
93061.SAOUHSC_00198	ABD29376.1	501	Conserved hypothetical protein.
93061.SAOUHSC_00199	ABD29377.1	525	Conserved hypothetical protein; Belongs to the 3-oxoacid CoA-transferase family.
93061.SAOUHSC_00200	ABD29378.1	380	Membrane protein, putative.
93061.SAOUHSC_00201	nikA	470	Conserved hypothetical protein; Part of the ABC transporter complex NikABCDE (Opp2) involved in nickel import. Binds nickel and transfers it to the membrane-bound permease. Required for full urease activity and plays a significant role in the virulence of S.aureus during urinary tract infection (UTI). May bind nickel via a nickel-chelator.
93061.SAOUHSC_00202	ABD29380.1	118	Conserved hypothetical protein.
93061.SAOUHSC_00203	ABD29381.1	57	Conserved hypothetical protein.
93061.SAOUHSC_00204	ABD29382.1	381	Globin domain protein; Belongs to the globin family.
93061.SAOUHSC_00205	ABD29383.1	35	Hypothetical protein.
93061.SAOUHSC_00206	ldh1	269	L-lactate dehydrogenase; Catalyzes the conversion of lactate to pyruvate (Potential). Appears to be the primary factor that allows S.aureus growth during nitrosative stress in both aerobically and anaerobically cultured cells (By similarity).
93061.SAOUHSC_00208	ABD29385.1	47	Hypothetical protein.
93061.SAOUHSC_00209	ABD29386.1	509	PTS system, glucose-specific IIBC component, putative.
93061.SAOUHSC_00211	ABD29387.1	311	Conserved hypothetical protein.
93061.SAOUHSC_00212	ABD29388.1	32	Conserved hypothetical protein.
93061.SAOUHSC_00213	ABD29389.1	698	Conserved hypothetical protein.
93061.SAOUHSC_00214	ABD29390.1	155	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2, putative.
93061.SAOUHSC_00215	ABD29391.1	92	PTS system component, putative.
93061.SAOUHSC_00216	ABD29392.1	419	PTS system component.
93061.SAOUHSC_00217	ABD29393.1	351	Sorbitol dehydrogenase, putative.
93061.SAOUHSC_00218	ABD29394.1	48	Conserved hypothetical protein.
93061.SAOUHSC_00219	ABD29395.1	347	Conserved hypothetical protein.
93061.SAOUHSC_00220	tarI	224	Conserved hypothetical protein; Catalyzes the transfer of the cytidylyl group of CTP to D- ribitol 5-phosphate.
93061.SAOUHSC_00221	tarJ	341	Alcohol dehydrogenase, zinc-containing; Catalyzes the NADPH dependent reduction of D-ribulose 5- phosphate to D-ribitol 5-phosphate; Belongs to the zinc-containing alcohol dehydrogenase family.
93061.SAOUHSC_00222	tarK	513	tagB protein, putative; Can catalyze the polymerization of the main chain of the major teichoic acid by sequential transfer of ribitol phosphate units from CDP-ribitol to the second glycerol phosphate attached to the disaccharide linkage unit; Belongs to the CDP-glycerol glycerophosphotransferase family.
